TQC+ 物件導向程式語言Java 第6類：物件導向程式設計
技能內容：類別設計、方法與屬性、建構子、解構子、繼承、列舉設計、多型與多載、 抽象類別、介面

題目	難易度	練習紀錄	
TQC+ 物件導向程式語言Java 601 汽車零件設計		答對 0答錯 0	
TQC+ 物件導向程式語言Java 602 汽車外觀設計		答對 0答錯 0	
TQC+ 物件導向程式語言Java 603 員工薪資計算		答對 0答錯 0	
TQC+ 物件導向程式語言Java 604 薪資總計		答對 0答錯 0	
TQC+ 物件導向程式語言Java 605 員工資料介面		答對 0答錯 0	
TQC+ 物件導向程式語言Java 606 銀行帳戶設計		答對 0答錯 0	
TQC+ 物件導向程式語言Java 607 銀行定期存款設計		答對 0答錯 0	
TQC+ 物件導向程式語言Java 608 航空包裏運費計算		答對 0答錯 0	
TQC+ 物件導向程式語言Java 609 員工差假介面設計		答對 0答錯 0	
TQC+ 物件導向程式語言Java 610 電腦零件設計		答對 0答錯 0	
