TQC+ 物件導向程式語言Java 第5類：檔案存取及資料流
技能內容：讀取及寫入文字檔、在文字檔尋找及排序資料、在文字檔刪除資料

題目	難易度	練習紀錄	
TQC+ 物件導向程式語言Java 501 讀取文字資料		答對 0答錯 0	
TQC+ 物件導向程式語言Java 502 寫入資料至文字檔		答對 0答錯 0	
TQC+ 物件導向程式語言Java 503 取得文字檔長度		答對 0答錯 0	
TQC+ 物件導向程式語言Java 504 文字檔資料新增		答對 0答錯 0	
TQC+ 物件導向程式語言Java 505 成績搜尋		答對 0答錯 0	
TQC+ 物件導向程式語言Java 506 刪除文字資料		答對 0答錯 0	
TQC+ 物件導向程式語言Java 507 尋找字串資料		答對 0答錯 0	
TQC+ 物件導向程式語言Java 508 計算平均成績		答對 0答錯 0	
TQC+ 物件導向程式語言Java 509 尋找及排序資料		答對 0答錯 0	
TQC+ 物件導向程式語言Java 510 寫入至文字檔		答對 0答錯 0	
