TQC+ 物件導向程式語言Java 第1類：基本處理
技能內容：區域變數，全域變數及常數、基本資料型態、字串資料處理、數字資料處理、標準輸入輸出、運算式、資料型別轉換

題目	難易度	練習紀錄	
TQC+ 物件導向程式語言Java 101 字串列印		答對 0答錯 0	
TQC+ 物件導向程式語言Java 102 偶數相加		答對 0答錯 0	
TQC+ 物件導向程式語言Java 103 計算圓面積		答對 0答錯 0	
TQC+ 物件導向程式語言Java 104 距離計算		答對 0答錯 0	
TQC+ 物件導向程式語言Java 105 字串索引		答對 0答錯 0	
TQC+ 物件導向程式語言Java 106 最大及最小值		答對 0答錯 0	
TQC+ 物件導向程式語言Java 107 判斷及格分數		答對 0答錯 0	
TQC+ 物件導向程式語言Java 108 數學函數		答對 0答錯 0	
TQC+ 物件導向程式語言Java 109 字元處理		答對 0答錯 0	
TQC+ 物件導向程式語言Java 110 存錢筒		答對 0答錯 0	
